Source	Target	MI
ENSG00000145545	HSA-MIR-133A-1	0.160387
ENSG00000130193	HSA-LET-7A-3	0.160353
ENSG00000089234	HSA-MIR-324	0.160329
ENSG00000101367	HSA-MIR-1287	0.160301
ENSG00000181915	HSA-MIR-744	0.160269
ENSG00000122870	HSA-MIR-3065	0.160254
ENSG00000144218	HSA-MIR-16-1	0.160244
ENSG00000112701	HSA-MIR-135B	0.160162
ENSG00000124575	HSA-MIR-194-1	0.160062
ENSG00000127580	HSA-MIR-326	0.159993
ENSG00000118194	HSA-MIR-139	0.159986
ENSG00000040608	HSA-MIR-345	0.15996
ENSG00000163239	HSA-MIR-196A-1	0.15995
ENSG00000023734	HSA-MIR-148A	0.15981
ENSG00000134107	HSA-MIR-140	0.15981
ENSG00000189077	HSA-MIR-152	0.159809
ENSG00000112167	HSA-MIR-92B	0.159807
ENSG00000213995	HSA-MIR-497	0.159805
ENSG00000112078	HSA-MIR-27A	0.159772
ENSG00000263002	HSA-MIR-29C	0.159771
ENSG00000137462	HSA-MIR-107	0.159742
ENSG00000103540	HSA-MIR-326	0.159718
ENSG00000157884	HSA-MIR-199B	0.159694
ENSG00000109133	HSA-LET-7F-2	0.159679
ENSG00000078304	HSA-MIR-1307	0.15965
ENSG00000131116	HSA-MIR-143	0.159528
ENSG00000146197	HSA-LET-7C	0.159527
ENSG00000087088	HSA-MIR-4668	0.159482
ENSG00000109255	HSA-MIR-766	0.159474
ENSG00000129691	HSA-MIR-885	0.159466
ENSG00000165194	HSA-MIR-26A-2	0.15945
ENSG00000131050	HSA-MIR-126	0.159428
ENSG00000145244	HSA-MIR-1-2	0.159428
ENSG00000103037	HSA-MIR-326	0.159425
ENSG00000164379	HSA-MIR-19A	0.159418
ENSG00000143450	HSA-MIR-185	0.159398
