Source	Target	MI
ENSG00000120594	HSA-MIR-598	0.167765
ENSG00000161082	HSA-MIR-452	0.167741
ENSG00000266028	HSA-MIR-874	0.167677
ENSG00000148154	HSA-MIR-598	0.16759
ENSG00000163848	HSA-MIR-505	0.167474
ENSG00000169031	HSA-MIR-874	0.167453
ENSG00000104412	HSA-MIR-31	0.167405
ENSG00000102007	HSA-MIR-874	0.167403
ENSG00000183048	HSA-MIR-19B-2	0.167359
ENSG00000213672	HSA-MIR-363	0.167278
ENSG00000184428	HSA-MIR-505	0.167266
ENSG00000172731	HSA-MIR-218-2	0.16725
ENSG00000198892	HSA-MIR-190A	0.167223
ENSG00000161640	HSA-MIR-338	0.167149
ENSG00000147003	HSA-MIR-1301	0.167142
ENSG00000130227	HSA-MIR-30A	0.167055
ENSG00000107447	HSA-MIR-135A-2	0.167038
ENSG00000140688	HSA-MIR-142	0.16703
ENSG00000127083	HSA-MIR-31	0.167024
ENSG00000138160	HSA-MIR-139	0.167016
ENSG00000153902	HSA-MIR-196B	0.166943
ENSG00000167996	HSA-MIR-103A-2	0.166892
ENSG00000253873	HSA-MIR-1-2	0.166862
ENSG00000071991	HSA-MIR-629	0.166858
ENSG00000130821	HSA-MIR-378A	0.166842
ENSG00000149260	HSA-MIR-190A	0.166822
ENSG00000010626	HSA-MIR-363	0.166776
ENSG00000117477	HSA-MIR-15A	0.166757
ENSG00000153936	HSA-MIR-103A-1	0.166707
ENSG00000046889	HSA-MIR-598	0.166573
ENSG00000104067	HSA-MIR-143	0.166547
ENSG00000114450	HSA-MIR-142	0.166526
ENSG00000130775	HSA-MIR-429	0.166484
ENSG00000075856	HSA-MIR-1976	0.166413
ENSG00000151948	HSA-MIR-338	0.166412
ENSG00000180185	HSA-MIR-23A	0.166362
ENSG00000163249	HSA-MIR-145	0.166312
ENSG00000185561	HSA-MIR-186	0.166307
ENSG00000147100	HSA-MIR-501	0.166286
ENSG00000165490	HSA-MIR-30A	0.166133
ENSG00000164054	HSA-MIR-891A	0.166131
ENSG00000133661	HSA-MIR-424	0.166117
ENSG00000164120	HSA-MIR-205	0.166111
ENSG00000275688	HSA-MIR-375	0.166102
ENSG00000197965	HSA-MIR-139	0.166043
ENSG00000152213	HSA-MIR-187	0.165847
ENSG00000074695	HSA-LET-7I	0.165836
ENSG00000177181	HSA-MIR-874	0.165761
ENSG00000072840	HSA-MIR-362	0.165753
ENSG00000165309	HSA-MIR-452	0.16575
ENSG00000174915	HSA-MIR-16-1	0.165733
ENSG00000172115	HSA-MIR-766	0.165726
ENSG00000135346	HSA-LET-7G	0.165683
ENSG00000125945	HSA-MIR-152	0.165679
ENSG00000138796	HSA-MIR-501	0.165646
ENSG00000164120	HSA-MIR-142	0.165607
ENSG00000106948	HSA-MIR-92B	0.16557
ENSG00000204305	HSA-MIR-34A	0.16538
ENSG00000185561	HSA-MIR-155	0.165359
ENSG00000005302	HSA-LET-7F-1	0.165312
ENSG00000105520	HSA-MIR-514A-2	0.165305
ENSG00000178038	HSA-MIR-532	0.165301
ENSG00000169733	HSA-MIR-22	0.165286
ENSG00000137875	HSA-MIR-1-2	0.165268
ENSG00000104221	HSA-MIR-452	0.165243
ENSG00000116983	HSA-MIR-200B	0.165238
ENSG00000005302	HSA-LET-7F-2	0.165229
ENSG00000211452	HSA-MIR-29C	0.165181
ENSG00000169836	HSA-MIR-29C	0.165161
ENSG00000158008	HSA-MIR-190A	0.16513
ENSG00000240857	HSA-MIR-22	0.165081
ENSG00000170927	HSA-MIR-452	0.165073
ENSG00000127838	HSA-MIR-511	0.16505
ENSG00000163975	HSA-MIR-203B	0.165001
ENSG00000116752	HSA-MIR-194-1	0.16499
ENSG00000127922	HSA-MIR-429	0.164911
ENSG00000111319	HSA-MIR-590	0.164866
ENSG00000136770	HSA-MIR-30E	0.164779
ENSG00000162460	HSA-MIR-532	0.164748
ENSG00000130764	HSA-MIR-15A	0.16466
ENSG00000123545	HSA-MIR-1296	0.164598
ENSG00000148908	HSA-MIR-363	0.164578
ENSG00000121579	HSA-MIR-708	0.164507
ENSG00000066279	HSA-MIR-450A-1	0.164483
ENSG00000171045	HSA-MIR-141	0.164463
ENSG00000135905	HSA-MIR-328	0.16444
ENSG00000054793	HSA-MIR-190A	0.164405
ENSG00000170271	HSA-MIR-190A	0.164299
ENSG00000205927	HSA-MIR-452	0.164278
ENSG00000166501	HSA-MIR-338	0.164243
ENSG00000177570	HSA-MIR-500B	0.164201
ENSG00000169903	HSA-MIR-3065	0.164195
ENSG00000138592	HSA-MIR-224	0.164191
ENSG00000164930	HSA-MIR-532	0.16418
ENSG00000117620	HSA-MIR-150	0.164167
ENSG00000084453	HSA-MIR-375	0.164162
ENSG00000144040	HSA-MIR-628	0.164123
ENSG00000165238	HSA-MIR-195	0.164116
ENSG00000134504	HSA-MIR-532	0.164086
ENSG00000164893	HSA-MIR-29C	0.164017
ENSG00000132591	HSA-MIR-224	0.164015
ENSG00000150776	HSA-MIR-181A-2	0.164011
ENSG00000134597	HSA-MIR-29C	0.163986
ENSG00000169994	HSA-MIR-452	0.163967
ENSG00000255071	HSA-MIR-361	0.163926
ENSG00000157445	HSA-MIR-203B	0.163876
ENSG00000168032	HSA-MIR-33A	0.163764
ENSG00000174348	HSA-MIR-218-1	0.163751
ENSG00000088926	HSA-MIR-452	0.163682
ENSG00000066557	HSA-MIR-452	0.16367
ENSG00000075073	HSA-MIR-103A-1	0.163653
ENSG00000047936	HSA-MIR-152	0.163554
ENSG00000143171	HSA-MIR-599	0.163496
ENSG00000123609	HSA-MIR-365A	0.163486
ENSG00000133477	HSA-MIR-30C-1	0.163474
ENSG00000116983	HSA-MIR-200A	0.163445
ENSG00000111799	HSA-MIR-505	0.163435
ENSG00000153823	HSA-MIR-590	0.163433
ENSG00000132716	HSA-MIR-362	0.163393
ENSG00000124664	HSA-MIR-425	0.163381
ENSG00000069812	HSA-MIR-708	0.163282
ENSG00000181817	HSA-MIR-145	0.163262
ENSG00000204978	HSA-MIR-22	0.163252
ENSG00000115652	HSA-MIR-203B	0.163178
ENSG00000137714	HSA-MIR-9-3	0.16317
ENSG00000196581	HSA-MIR-483	0.16317
ENSG00000196372	HSA-MIR-200B	0.163165
ENSG00000182628	HSA-MIR-215	0.163146
ENSG00000119004	HSA-MIR-186	0.163067
ENSG00000115252	HSA-MIR-505	0.163057
ENSG00000156026	HSA-MIR-3613	0.162992
ENSG00000132313	HSA-MIR-133A-1	0.162985
ENSG00000104432	HSA-MIR-200A	0.162979
ENSG00000164620	HSA-MIR-196B	0.162966
ENSG00000089250	HSA-MIR-199B	0.162961
ENSG00000271824	HSA-LET-7F-2	0.162879
ENSG00000213341	HSA-MIR-142	0.162862
ENSG00000137393	HSA-MIR-190A	0.162827
ENSG00000161904	HSA-MIR-129-2	0.162819
ENSG00000069011	HSA-MIR-139	0.162802
ENSG00000132698	HSA-MIR-628	0.162798
ENSG00000066248	HSA-MIR-192	0.162725
ENSG00000137714	HSA-MIR-9-2	0.162683
ENSG00000243710	HSA-MIR-192	0.162614
ENSG00000213923	HSA-MIR-145	0.162578
ENSG00000123728	HSA-MIR-30C-1	0.162571
ENSG00000083444	HSA-MIR-19B-2	0.162517
ENSG00000160131	HSA-MIR-542	0.162484
ENSG00000013503	HSA-MIR-103A-1	0.162457
ENSG00000182253	HSA-MIR-1-2	0.162453
ENSG00000081051	HSA-MIR-203B	0.162444
ENSG00000157020	HSA-MIR-190A	0.162438
ENSG00000271824	HSA-LET-7F-1	0.162434
ENSG00000180353	HSA-MIR-133A-2	0.16241
ENSG00000119421	HSA-MIR-483	0.162381
ENSG00000131435	HSA-MIR-500A	0.162215
ENSG00000064115	HSA-MIR-92B	0.162196
ENSG00000120088	HSA-MIR-532	0.162186
ENSG00000152061	HSA-MIR-532	0.162147
ENSG00000136379	HSA-MIR-190A	0.162138
ENSG00000112118	HSA-MIR-891A	0.162055
ENSG00000114956	HSA-LET-7A-2	0.16205
ENSG00000162599	HSA-MIR-210	0.162017
ENSG00000164120	HSA-MIR-223	0.161941
ENSG00000175048	HSA-MIR-30C-1	0.161933
ENSG00000197114	HSA-MIR-30A	0.161912
ENSG00000164946	HSA-MIR-296	0.161873
ENSG00000176387	HSA-MIR-92A-2	0.161764
ENSG00000189157	HSA-MIR-141	0.161743
ENSG00000126016	HSA-MIR-500B	0.161706
ENSG00000097021	HSA-MIR-452	0.161683
ENSG00000116809	HSA-MIR-181A-2	0.161677
ENSG00000069011	HSA-MIR-708	0.161664
ENSG00000161640	HSA-MIR-708	0.161622
ENSG00000147010	HSA-MIR-505	0.161617
ENSG00000115084	HSA-MIR-30A	0.161586
ENSG00000167380	HSA-MIR-874	0.161542
ENSG00000156804	HSA-MIR-125A	0.16152
ENSG00000188647	HSA-MIR-501	0.161508
ENSG00000143418	HSA-MIR-150	0.161428
